cluster,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
component,carrier,,,,,,,,,,,,,,,,,,,
Link,heat200-500 industry gas,43.76539,62.37162,66.06627,131.14273,240.12856,219.62097,57560.18637,1720276.40105,5464371.35118,5465508.49139,5468808.417,5471045.64789,7160159.01451,11505845.06953,19934323.23552,22146413.65326,22904513.62729,22905022.09467,22905757.99642
Link,heat<100 industry electric boiler steam,-15.92111,-21.30689,-17.59925,-24.02242,-34.14367,-25.24874,-22.08848,-27.62333,-23.13802,-27.10042,-22.95308,-23.38917,-26.40357,-19.33738,-30.38215,-20.52046,-24.5659,-31.54609,-34.13762
Link,heat<100 industry gas,28.26872,124.34328,219.83021,462.43616,661.63263,611.51685,681.14468,876.6566,1824.70988,8697.30331,95514.57021,129617.64299,190609.96266,1974068.1004,13087924.0995,22177824.20493,34301699.90451,41610235.6787,42071740.73619
Link,heat<100 industry industrial heat pump medium temperature,179646899.44335,179344348.20725,177026657.75378,174431813.18226,174303540.45226,174054247.53376,172505348.37012,167511874.93022,164311578.01185,163621908.31361,161976884.84319,161383904.33127,156164334.98833,142813640.63898,120686879.8878,85741456.34813,35616916.22258,2184119.90865,75547.77403
Link,heat<100 industry solid biomass,-2532060.44667,-2591298.45615,-3046217.94975,-3555286.09945,-3580162.75075,-3629252.93018,-3933275.88962,-4913245.2217,-5540663.04353,-5669824.25948,-5914829.41317,-6000600.92958,-6970387.95093,-7989656.1137,-2352749.16937,-1049895.17206,-2006.56082,-1682.1399,-1129.55489
Link,heat>500 industry gas,17563472.15277,34757224.17316,57379793.60258,61486370.80271,61486214.72921,61486370.87797,61486405.51513,61486254.3888,61486360.99978,61486269.87101,61486378.0548,61486393.42712,61486324.1123,61486487.99929,61486235.8102,61486477.34199,61486389.90246,61486226.20182,61486123.42869
Link,home battery charger,-2377.65043,-1118.83703,-1861.64121,-3434.34537,-4137.5786,-4359.11547,-5842.46046,-17758.66327,-20427.98598,-19866.38058,-11344.07746,-2747.99618,-1128.49814,-813.94816,-660.47226,-483.2291,-463.556,-540.38265,-563.73366
Link,home battery discharger,-2329.61248,-1096.23281,-1824.02898,-3364.95833,-4053.98422,-4271.04417,-5724.41985,-17399.86629,-20015.25769,-19464.99907,-11114.88114,-2692.47588,-1105.6983,-797.50339,-647.12848,-473.46614,-454.1906,-529.46522,-552.34451
Link,kerosene for aviation,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987,191258483.68987
Link,land transport oil,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898,649471568.77898
Link,lignite,-32730326.75498,-11267364.15171,-10894490.8348,-9851476.32097,-250374.08761,-15880.62215,-932.87836,-12572.72629,-12338.76945,-4540.6641,-14921.06076,-32903.01179,-21614.77936,-45078.48128,-50388.2911,-34378.64734,-22746.67309,-19931.66797,-47483.0149
Link,methanolisation,-39316607.68678,-45434402.04337,-39053937.40452,-34195584.99975,-47671086.01777,-47680543.65152,-47681276.43374,-47681519.32315,-47681616.10172,-47681659.59247,-47681813.1423,-47681862.49209,-47681903.07967,-47681981.71279,-47681998.51685,-47681998.88502,-47681968.15609,-47682012.51709,-47682046.16636
Link,municipal solid waste,-13977455.4689,-13977455.91393,-13977455.64184,-13977455.87574,-13977456.61384,-13977455.78903,-13977456.05326,-13977455.94302,-13977455.89881,-13977455.9294,-13977455.6561,-13977455.59374,-13977455.56561,-13977455.43964,-13977455.5719,-13977455.37687,-13977455.45414,-13977455.60648,-13977455.68687
Link,nuclear,-1291209236.81137,-1291221201.89586,-1291153646.74413,-1291855070.73606,-1292201992.15292,-1292378565.47463,-1292714288.58776,-1293290479.57538,-1293640590.58605,-1293826703.50074,-1294147457.90904,-1294332648.24004,-1294697858.55189,-1295033469.97057,-1295166737.80371,-1295258896.51768,-1295449545.94761,-1295628937.81809,-1295823596.04602
Link,oil,-612.7691,-936.6133,-36717.69871,-513.65172,-514.6038,-432.4379,-433.09544,-412.57482,-409.26145,-386.38635,-350.68601,-331.38378,-348.42006,-352.50599,-374.13177,-299.95989,-298.86056,-353.84102,-357.71277
Link,oil refining,-199044928.00957,-198791665.12675,-199039359.05977,-199000954.6392,-198566567.38607,-198565496.61541,-198550479.86952,-198458122.18189,-198194237.06068,-198111493.96446,-197749734.29434,-197566370.79173,-196869800.90853,-195725801.22215,-194035139.27557,-193191310.79926,-192783436.68282,-192469757.2417,-192204045.47042
Link,rural air heat pump,2601.13874,2762.95803,2548.77142,3012.5946,3154.2427,2982.23029,2978.7081,2985.64512,3038.49032,2835.45978,2644.59686,2498.67942,2642.62231,2549.15301,2701.0985,2204.07321,2051.37295,2570.38206,2581.26454
Link,rural biomass boiler,-29096018.25551,-29103536.47087,-29109308.02089,-29098240.98844,-29117037.35735,-29072480.99004,-28195116.76387,-27061586.22254,-26091585.07425,-26090189.73899,-26088809.24553,-26096061.26681,-26094826.14852,-26098267.57298,-26083810.72876,-26057126.88042,-26051737.00642,-26040399.34588,-26041463.40307
