component,location,carrier,0
Generator,DE0 0,urban decentral heat vent,0.13528847582638764
Generator,DE0 0,urban decentral solar thermal,0.01941747572815534
Generator,DE0 1,Onshore Wind,0.18386209816864593
Generator,DE0 1,Run of River,0.47532728187893536
Generator,DE0 1,Solar,0.12186419865562804
Generator,DE0 1,forest residues,0.0001141552505426765
Generator,DE0 1,industry wood,0.0001141552513779578
Generator,DE0 1,landscape care,0.00011415526590189707
Generator,DE0 1,manure and slurry,0.00011415525113163508
Generator,DE0 1,municipal solid waste,0.00011298171383494457
Generator,DE0 1,rural solar thermal,0.023465703971119134
Generator,DE0 1,sewage sludge,0.00011415526425363855
Generator,DE0 1,solar-hsat,0.14777157464548163
Generator,DE0 1,solid biomass,5.34e-07
Generator,DE0 1,straw,0.00011415525183856197
Generator,DE0 1,unsustainable biogas,0.00011415525207451711
Generator,DE0 1,unsustainable bioliquids,0.00011415525240146687
Generator,DE0 1,unsustainable solid biomass,0.00011406532008513164
Generator,DE0 1,urban central heat vent,0.16234927072407407
Generator,DE0 1,urban central solar thermal,0.022023809523809525
Generator,DE0 1,urban decentral heat vent,0.0683992574610881
Generator,DE0 1,urban decentral solar thermal,0.020870337477797513
Generator,DE0 2,Offshore Wind (AC),0.48082557847533636
Generator,DE0 2,Offshore Wind (DC),0.5926450864454228
Generator,DE0 2,Offshore Wind (Floating),0.3842857142857143
Generator,DE0 2,Onshore Wind,0.24814204912256524
Generator,DE0 2,Run of River,0.47535474171740183
Generator,DE0 2,Solar,0.1128949050561427
Generator,DE0 2,forest residues,0.00011415525050479579
Generator,DE0 2,industry wood,0.00011415525257478179
Generator,DE0 2,landscape care,0.00011415526478159398
Generator,DE0 2,manure and slurry,0.00011415525031234285
Generator,DE0 2,municipal solid waste,0.00011371919190074166
Generator,DE0 2,rural solar thermal,0.02953586497890295
Generator,DE0 2,sewage sludge,0.00011415527640134798
Generator,DE0 2,solar-hsat,0.13835882678969424
Generator,DE0 2,solid biomass,0.458473874
Generator,DE0 2,straw,0.0001141552508181
Generator,DE0 2,unsustainable biogas,0.00011415525136889036
Generator,DE0 2,unsustainable bioliquids,0.00011415525195563112
Generator,DE0 2,unsustainable solid biomass,0.00011407927569272878
Generator,DE0 2,urban central heat vent,0.0019155920796095406
Generator,DE0 2,urban central solar thermal,0.021523178807947022
Generator,DE0 2,urban decentral heat vent,0.12374316939890709
Generator,DE0 2,urban decentral solar thermal,0.01935116676152533
Generator,DE0 3,Onshore Wind,0.13579054645842792
Generator,DE0 3,Run of River,0.4766152328544836
Generator,DE0 3,Solar,0.1291323737486324
Generator,DE0 3,forest residues,0.00011415525174596425
Generator,DE0 3,industry wood,0.00011415525176123348
Generator,DE0 3,landscape care,0.00011415524449971394
Generator,DE0 3,manure and slurry,0.00011415525076963023
Generator,DE0 3,municipal solid waste,0.00011322870042354965
Generator,DE0 3,rural solar thermal,0.029050279329608936
Generator,DE0 3,sewage sludge,0.0001141552407822503
Generator,DE0 3,solar-hsat,0.15517106910643516
Generator,DE0 3,solid biomass,1.313e-06
Generator,DE0 3,straw,0.00011415525274390898
Generator,DE0 3,unsustainable biogas,0.00011415525090515251
Generator,DE0 3,unsustainable bioliquids,0.00011415525250024702
Generator,DE0 3,unsustainable solid biomass,0.00011408399218854102
Generator,DE0 3,urban central heat vent,0.00925191760160993
Generator,DE0 3,urban central solar thermal,0.027479425303389593
Generator,DE0 3,urban decentral heat vent,0.07485353003161221
Generator,DE0 3,urban decentral solar thermal,0.025023459493274947
Generator,DE0 4,Onshore Wind,0.1544265570187435
Generator,DE0 4,Run of River,0.47637520352196133
Generator,DE0 4,Solar,0.12265169805519568
Generator,DE0 4,forest residues,0.0001141552516964924
Generator,DE0 4,industry wood,0.0001141552520135701
Generator,DE0 4,landscape care,0.00011415525318722887
Generator,DE0 4,manure and slurry,0.00011415526268941838
Generator,DE0 4,municipal solid waste,0.00011365682222807851
Generator,DE0 4,rural solar thermal,0.03389830508474577
Generator,DE0 4,sewage sludge,0.00011415529489496726
Generator,DE0 4,solar-hsat,0.15039165109715164
Generator,DE0 4,solid biomass,0.36162325900000003
Generator,DE0 4,straw,0.00011415525199358226
Generator,DE0 4,unsustainable biogas,0.0001141552510973402
Generator,DE0 4,unsustainable bioliquids,0.00011415525156678644
Generator,DE0 4,unsustainable solid biomass,0.0001140833279264511
Generator,DE0 4,urban central heat vent,0.003085106367463223
Generator,DE0 4,urban central solar thermal,0.02520265291083272
Generator,DE0 4,urban decentral heat vent,0.05862488505908666
Generator,DE0 4,urban decentral solar thermal,0.022966134682755938
Generator,DE0 5,Offshore Wind (AC),0.4939507694398621
Generator,DE0 5,Offshore Wind (DC),0.5093226490941797
Generator,DE0 5,Offshore Wind (Floating),0.2674897119341564
Generator,DE0 5,Onshore Wind,0.23181353407269198
Generator,DE0 5,Run of River,0.4710459220122751
Generator,DE0 5,Solar,0.1208676298075035
Generator,DE0 5,forest residues,0.00011415525195208842
Generator,DE0 5,industry wood,0.00011415525105546343
Generator,DE0 5,landscape care,0.00011415525694042353
Generator,DE0 5,manure and slurry,0.00011415525230995401
Generator,DE0 5,municipal solid waste,0.00011346029533341967
Generator,DE0 5,rural solar thermal,0.023180592991913745
Generator,DE0 5,sewage sludge,0.00011415525606437208
Generator,DE0 5,solar-hsat,0.14810988945372544
Generator,DE0 5,solid biomass,0.03975426
Generator,DE0 5,straw,0.00011415525241374016
Generator,DE0 5,unsustainable biogas,0.00011415525095943373
Generator,DE0 5,unsustainable bioliquids,0.00011415525210869947
Generator,DE0 5,unsustainable solid biomass,0.00011409442656362091
Generator,DE0 5,urban central heat vent,0.003195821013331153
Generator,DE0 5,urban central solar thermal,0.02523712737127371
Generator,DE0 5,urban decentral heat vent,0.11337099655559746
Generator,DE0 5,urban decentral solar thermal,0.019764507989907486
Generator,DK0 0,Offshore Wind (AC),0.40270691958272187
Generator,DK0 0,Offshore Wind (DC),0.4830375995951323
Generator,DK0 0,Offshore Wind (Floating),0.3180933852140078
Generator,DK0 0,Onshore Wind,0.3814443960622165
Generator,DK0 0,Solar,0.11189353788088585
Generator,DK0 0,forest residues,0.00011415524955397466
Generator,DK0 0,industry wood,0.0001141552475598614
Generator,DK0 0,landscape care,0.00011415524489180554
Generator,DK0 0,manure and slurry,0.00011415525151858773
Generator,DK0 0,municipal solid waste,0.00011312403129265527
Generator,DK0 0,rural solar thermal,0.03508771929824562
Generator,DK0 0,sewage sludge,0.00011415553161766336
Generator,DK0 0,solar-hsat,0.11961294934640525
Generator,DK0 0,solid biomass,5.54e-07
Generator,DK0 0,straw,0.0001141552549319673
Generator,DK0 0,unsustainable biogas,0.00011415525295275452
Generator,DK0 0,unsustainable bioliquids,0.00011415517934591854
Generator,DK0 0,unsustainable solid biomass,0.00011401998536194421
Generator,DK0 0,urban central heat vent,0.11877414120828761
Generator,DK0 0,urban central solar thermal,0.019585772174696082
Generator,DK0 0,urban decentral heat vent,0.20910773888777426
Generator,DK0 0,urban decentral solar thermal,0.021008403361344536
Generator,DK1 0,Offshore Wind (AC),0.4591996251137056
Generator,DK1 0,Offshore Wind (DC),0.3784277879341864
Generator,DK1 0,Offshore Wind (Floating),0.2911764705882353
Generator,DK1 0,Onshore Wind,0.4367991680645914
Generator,DK1 0,Solar,0.11809041021434946
Generator,DK1 0,forest residues,0.00011415526647060198
Generator,DK1 0,industry wood,0.00011415524286506089
Generator,DK1 0,landscape care,0.0001141552761431638
Generator,DK1 0,manure and slurry,0.00011415525285557875
Generator,DK1 0,municipal solid waste,0.00011292011286354884
Generator,DK1 0,rural solar thermal,0.04090909090909091
Generator,DK1 0,sewage sludge,0.0001141553130695068
Generator,DK1 0,solar-hsat,0.15184199874659757
Generator,DK1 0,solid biomass,0.0034585790000000003
Generator,DK1 0,straw,0.00011415525034120277
Generator,DK1 0,unsustainable biogas,0.0001141552500792346
Generator,DK1 0,unsustainable bioliquids,0.000114155046983689
Generator,DK1 0,unsustainable solid biomass,0.00011379344344588223
Generator,DK1 0,urban central heat vent,0.1480282188468834
Generator,DK1 0,urban central solar thermal,0.021942211601129698
Generator,DK1 0,urban decentral heat vent,0.2340424546435635
Generator,DK1 0,urban decentral solar thermal,0.022995649471721565
Generator,EE0 0,Offshore Wind (AC),0.4240271528928881
Generator,EE0 0,Offshore Wind (DC),0.4543656400113026
Generator,EE0 0,Offshore Wind (Floating),0.2948243992606285
Generator,EE0 0,Onshore Wind,0.3046613532025536
Generator,EE0 0,Solar,0.10891927527582071
Generator,EE0 0,forest residues,0.00011415524715010554
Generator,EE0 0,industry wood,0.00011415525117987808
Generator,EE0 0,landscape care,0.00011415522978515279
Generator,EE0 0,manure and slurry,0.00011415525528362126
Generator,EE0 0,municipal solid waste,0.000109623537211842
Generator,EE0 0,rural solar thermal,0.020738820479585227
Generator,EE0 0,solar-hsat,0.13975789968486801
Generator,EE0 0,solid biomass,4.6299999999999995e-07
Generator,EE0 0,straw,0.00011415526879006367
Generator,EE0 0,unsustainable biogas,0.00011415531094288406
Generator,EE0 0,unsustainable solid biomass,0.00011406991977959905
Generator,EE0 0,urban central heat vent,0.12420609965581098
Generator,EE0 0,urban central solar thermal,0.020734032411820782
Generator,EE0 0,urban decentral heat vent,0.07121591347029352
Generator,EE0 0,urban decentral solar thermal,0.013356562137049943
Generator,ES0 0,Offshore Wind (AC),0.26404730017182154
Generator,ES0 0,Offshore Wind (Floating),0.2229336437718277
Generator,ES0 0,Onshore Wind,0.13021916115815246
Generator,ES0 0,Run of River,0.17679946153846154
