component,location,carrier,0
Generator,FI1 0,urban decentral solar thermal,0.01377
Generator,FR0 0,Offshore Wind (AC),3646.14551
Generator,FR0 0,Offshore Wind (DC),2887.92606
Generator,FR0 0,Offshore Wind (Floating),0.0045
Generator,FR0 0,Onshore Wind,13810.72318
Generator,FR0 0,Solar,1542.40315
Generator,FR0 0,forest residues,2583136.10877
Generator,FR0 0,gas,21938.95957
Generator,FR0 0,industry wood,5037257.79218
Generator,FR0 0,landscape care,794689.77677
Generator,FR0 0,manure and slurry,3792092.69841
Generator,FR0 0,municipal solid waste,2684052.04147
Generator,FR0 0,rural solar thermal,0.00645
Generator,FR0 0,sewage sludge,695.77954
Generator,FR0 0,solar-hsat,0.07103
Generator,FR0 0,solid biomass,10000.0
Generator,FR0 0,straw,9056436.09088
Generator,FR0 0,unsustainable biogas,2529626.60206
Generator,FR0 0,unsustainable bioliquids,6493389.26331
Generator,FR0 0,unsustainable solid biomass,26957646.07881
Generator,FR0 0,urban central heat vent,2.72829
Generator,FR0 0,urban central solar thermal,0.07064
Generator,FR0 0,urban decentral heat vent,1.25465
Generator,FR0 0,urban decentral solar thermal,0.01806
Generator,FR0 1,Offshore Wind (AC),1848.21725
Generator,FR0 1,Offshore Wind (Floating),0.02309
Generator,FR0 1,Onshore Wind,1170.80438
Generator,FR0 1,Run of River,4138.37915
Generator,FR0 1,Solar,3086.5097
Generator,FR0 1,forest residues,3305202.97113
Generator,FR0 1,gas,14100.8652
Generator,FR0 1,industry wood,6071765.28109
Generator,FR0 1,landscape care,957878.43071
Generator,FR0 1,manure and slurry,1989566.88156
Generator,FR0 1,municipal solid waste,1617800.48016
Generator,FR0 1,rural solar thermal,0.02022
Generator,FR0 1,sewage sludge,137.94616
Generator,FR0 1,solar-hsat,28247.68484
Generator,FR0 1,solid biomass,10000.0
Generator,FR0 1,straw,1310150.38319
Generator,FR0 1,unsustainable biogas,864574.59226
Generator,FR0 1,unsustainable bioliquids,2219307.53343
Generator,FR0 1,unsustainable solid biomass,9220153.8235
Generator,FR0 1,urban central heat vent,2.82164
Generator,FR0 1,urban central solar thermal,0.16977
Generator,FR0 1,urban decentral heat vent,1.30504
Generator,FR0 1,urban decentral solar thermal,0.04064
Generator,FR0 2,Offshore Wind (AC),0.06349
Generator,FR0 2,Offshore Wind (DC),302.42911
Generator,FR0 2,Offshore Wind (Floating),0.01512
Generator,FR0 2,Onshore Wind,2782.74134
Generator,FR0 2,Run of River,1256.17
Generator,FR0 2,Solar,4611.11573
Generator,FR0 2,forest residues,6396212.63171
Generator,FR0 2,industry wood,9800428.23487
Generator,FR0 2,landscape care,1550036.24291
Generator,FR0 2,manure and slurry,3142335.8765
Generator,FR0 2,municipal solid waste,1109642.70336
Generator,FR0 2,rural solar thermal,0.0274
Generator,FR0 2,sewage sludge,103.4855
Generator,FR0 2,solar-hsat,0.567
Generator,FR0 2,solid biomass,10000.0
Generator,FR0 2,straw,2911362.75672
Generator,FR0 2,unsustainable biogas,1496475.69086
Generator,FR0 2,unsustainable bioliquids,3841357.1299
Generator,FR0 2,unsustainable solid biomass,15951679.79175
Generator,FR0 2,urban central heat vent,1299.91531
Generator,FR0 2,urban central solar thermal,0.0885
Generator,FR0 2,urban decentral heat vent,1.36378
Generator,FR0 2,urban decentral solar thermal,0.03378
Generator,FR0 3,Offshore Wind (AC),13775.87991
Generator,FR0 3,Offshore Wind (DC),3510.62248
Generator,FR0 3,Offshore Wind (Floating),0.0177
Generator,FR0 3,Onshore Wind,3495.727
Generator,FR0 3,Solar,868.20601
Generator,FR0 3,forest residues,1395188.04124
Generator,FR0 3,gas,19262.93632
Generator,FR0 3,industry wood,2525698.398
Generator,FR0 3,landscape care,398877.10471
Generator,FR0 3,manure and slurry,12207758.00126
Generator,FR0 3,municipal solid waste,1132048.17943
Generator,FR0 3,rural solar thermal,0.01249
Generator,FR0 3,sewage sludge,95.13144
Generator,FR0 3,solar-hsat,0.08759
Generator,FR0 3,solid biomass,10000.0
Generator,FR0 3,straw,3464701.3135
Generator,FR0 3,unsustainable biogas,1432244.86254
Generator,FR0 3,unsustainable bioliquids,3676480.71271
Generator,FR0 3,unsustainable solid biomass,15267440.61293
Generator,FR0 3,urban central heat vent,2.72232
Generator,FR0 3,urban central solar thermal,0.07484
Generator,FR0 3,urban decentral heat vent,1.32965
Generator,FR0 3,urban decentral solar thermal,0.02173
Generator,FR0 4,Onshore Wind,3546.91314
Generator,FR0 4,Run of River,1476.1
Generator,FR0 4,Solar,1079.20761
Generator,FR0 4,forest residues,3371675.48164
Generator,FR0 4,industry wood,5957131.76762
Generator,FR0 4,landscape care,941869.19965
Generator,FR0 4,manure and slurry,2407011.15558
Generator,FR0 4,municipal solid waste,780680.32392
Generator,FR0 4,rural solar thermal,0.01464
Generator,FR0 4,sewage sludge,187.2718
Generator,FR0 4,solar-hsat,0.07381
Generator,FR0 4,solid biomass,10000.0
Generator,FR0 4,straw,2949000.55551
Generator,FR0 4,unsustainable biogas,1124237.29898
Generator,FR0 4,unsustainable bioliquids,2885845.04949
Generator,FR0 4,unsustainable solid biomass,11986292.79233
Generator,FR0 4,urban central heat vent,1072.06737
Generator,FR0 4,urban central solar thermal,0.06943
Generator,FR0 4,urban decentral heat vent,1120.55552
Generator,FR0 4,urban decentral solar thermal,0.01995
Generator,FR5 0,Offshore Wind (AC),0.01454
Generator,FR5 0,Offshore Wind (Floating),0.01143
Generator,FR5 0,Onshore Wind,17.00147
Generator,FR5 0,Solar,0.11211
Generator,FR5 0,forest residues,76215.56567
Generator,FR5 0,industry wood,145694.57828
Generator,FR5 0,landscape care,23761.87513
Generator,FR5 0,manure and slurry,18211.82229
Generator,FR5 0,municipal solid waste,46633.0855
Generator,FR5 0,rural solar thermal,0.05078
Generator,FR5 0,sewage sludge,3.10589
Generator,FR5 0,solar-hsat,2633.83719
Generator,FR5 0,solid biomass,10000.0
Generator,FR5 0,straw,46652.31456
Generator,FR5 0,unsustainable biogas,17541.1017
Generator,FR5 0,unsustainable bioliquids,45026.88317
Generator,FR5 0,unsustainable solid biomass,196862.12429
Generator,FR5 0,urban decentral heat vent,0.07648
Generator,GB2 0,Offshore Wind (AC),10739.64984
Generator,GB2 0,Offshore Wind (DC),15231.9925
Generator,GB2 0,Offshore Wind (Floating),0.02071
Generator,GB2 0,Onshore Wind,11620.25901
Generator,GB2 0,Run of River,2874.675
Generator,GB2 0,Solar,1620.20611
Generator,GB2 0,forest residues,3220691.17547
Generator,GB2 0,gas,110410.72653
Generator,GB2 0,industry wood,3478186.79659
Generator,GB2 0,landscape care,938345.80941
Generator,GB2 0,manure and slurry,6315060.92161
Generator,GB2 0,municipal solid waste,555449.569
Generator,GB2 0,rural solar thermal,0.00616
Generator,GB2 0,sewage sludge,4318.60335
Generator,GB2 0,solar-hsat,0.2661
Generator,GB2 0,solid biomass,10000.0
Generator,GB2 0,straw,1274616.29867
Generator,GB2 0,unsustainable biogas,7682872.78392
Generator,GB2 0,unsustainable bioliquids,1640927.03895
Generator,GB2 0,unsustainable solid biomass,13192163.23138
Generator,GB2 0,urban central heat vent,870.05828
Generator,GB2 0,urban central solar thermal,0.05419
Generator,GB2 0,urban decentral heat vent,1.545
Generator,GB2 0,urban decentral solar thermal,0.00687
Generator,GB2 1,Offshore Wind (AC),16045.70004
Generator,GB2 1,Offshore Wind (DC),10440.91
Generator,GB2 1,Offshore Wind (Floating),0.01569
Generator,GB2 1,Onshore Wind,14668.50538
Generator,GB2 1,Solar,9810.91004
Generator,GB2 1,forest residues,1107159.00798
Generator,GB2 1,gas,112436.06983
Generator,GB2 1,industry wood,1111744.81681
Generator,GB2 1,landscape care,304765.01924
Generator,GB2 1,manure and slurry,6383823.24599
Generator,GB2 1,municipal solid waste,724277.33965
Generator,GB2 1,rural solar thermal,0.015
Generator,GB2 1,sewage sludge,5655.2992
Generator,GB2 1,solar-hsat,21947.51756
Generator,GB2 1,solid biomass,10000.0
Generator,GB2 1,straw,5075666.7652
Generator,GB2 1,unsustainable biogas,12463407.23485
Generator,GB2 1,unsustainable bioliquids,2661965.45281
Generator,GB2 1,unsustainable solid biomass,21394535.86435
Generator,GB2 1,urban central heat vent,2.82006
Generator,GB2 1,urban central solar thermal,0.06508
