cost,component,location,carrier,0
capital,Generator,MK0 0,Onshore Wind,8447585.41036
capital,Generator,MK0 0,Run of River,59045443.2567
capital,Generator,MK0 0,Solar,15545489.72055
capital,Generator,MK0 0,rural solar thermal,727.87653
capital,Generator,MK0 0,solar-hsat,74262692.84649
capital,Generator,MK0 0,urban central solar thermal,2283.36203
capital,Generator,MK0 0,urban decentral solar thermal,733.2476
capital,Generator,NL0 0,Offshore Wind (AC),1174437636.71327
capital,Generator,NL0 0,Offshore Wind (DC),18725.93986
capital,Generator,NL0 0,Offshore Wind (Floating),1953.51038
capital,Generator,NL0 0,Onshore Wind,3105674392.58402
capital,Generator,NL0 0,Solar,248277031.30036
capital,Generator,NL0 0,rural solar thermal,0.68059
capital,Generator,NL0 0,solar-hsat,9444.94311
capital,Generator,NL0 0,urban central solar thermal,990.59737
capital,Generator,NL0 0,urban decentral solar thermal,457.79809
capital,Generator,NO1 0,Offshore Wind (AC),28255606.57688
capital,Generator,NO1 0,Offshore Wind (DC),9386.45694
capital,Generator,NO1 0,Offshore Wind (Floating),4042.45534
capital,Generator,NO1 0,Onshore Wind,639792422.16275
capital,Generator,NO1 0,Run of River,275042056.92383
capital,Generator,NO1 0,Solar,73314.54397
capital,Generator,NO1 0,rural solar thermal,157.18664
capital,Generator,NO1 0,solar-hsat,3727.59593
capital,Generator,NO1 0,urban central solar thermal,854.44006
capital,Generator,NO1 0,urban decentral solar thermal,163.05401
capital,Generator,PL0 0,Offshore Wind (AC),1049261198.46373
capital,Generator,PL0 0,Offshore Wind (DC),1301263558.13523
capital,Generator,PL0 0,Offshore Wind (Floating),4983.888
capital,Generator,PL0 0,Onshore Wind,1045761261.16084
capital,Generator,PL0 0,Run of River,56210389.48212
capital,Generator,PL0 0,Solar,137290976.72589
capital,Generator,PL0 0,rural solar thermal,481.58532
capital,Generator,PL0 0,solar-hsat,1783444176.87949
capital,Generator,PL0 0,urban central solar thermal,1321.48742
capital,Generator,PL0 0,urban decentral solar thermal,614.1871
capital,Generator,PT0 0,Offshore Wind (AC),5043463.04155
capital,Generator,PT0 0,Offshore Wind (Floating),3495.36233
capital,Generator,PT0 0,Onshore Wind,616509405.81203
capital,Generator,PT0 0,Run of River,781982318.70502
capital,Generator,PT0 0,Solar,183052844.72735
capital,Generator,PT0 0,rural solar thermal,981.60786
capital,Generator,PT0 0,solar-hsat,449772633.45235
capital,Generator,PT0 0,urban central solar thermal,1623.73143
capital,Generator,PT0 0,urban decentral solar thermal,880.10272
capital,Generator,RO0 0,Offshore Wind (AC),5139.14167
capital,Generator,RO0 0,Offshore Wind (DC),5108.57445
capital,Generator,RO0 0,Offshore Wind (Floating),3346.74497
capital,Generator,RO0 0,Onshore Wind,637732350.98765
capital,Generator,RO0 0,Run of River,1085206556.13942
capital,Generator,RO0 0,Solar,106116341.25751
capital,Generator,RO0 0,rural solar thermal,1001.53419
capital,Generator,RO0 0,solar-hsat,73751813.62599
capital,Generator,RO0 0,urban central solar thermal,1769.03022
capital,Generator,RO0 0,urban decentral solar thermal,898.97159
capital,Generator,RS0 0,Onshore Wind,89347454.4534
capital,Generator,RS0 0,Run of River,526478263.35986
capital,Generator,RS0 0,Solar,1864098.2878
capital,Generator,RS0 0,rural solar thermal,669.32821
capital,Generator,RS0 0,solar-hsat,192825950.79563
capital,Generator,RS0 0,urban central solar thermal,2850.58644
capital,Generator,RS0 0,urban decentral solar thermal,676.56697
capital,Generator,SE1 0,Offshore Wind (AC),36685707.55798
capital,Generator,SE1 0,Offshore Wind (DC),14006.53857
capital,Generator,SE1 0,Offshore Wind (Floating),4085.66257
capital,Generator,SE1 0,Onshore Wind,1919540236.16854
capital,Generator,SE1 0,Run of River,394149905.66452
capital,Generator,SE1 0,Solar,14943357.67889
capital,Generator,SE1 0,rural solar thermal,177.59247
capital,Generator,SE1 0,solar-hsat,8570.60701
capital,Generator,SE1 0,urban central solar thermal,950.11731
capital,Generator,SE1 0,urban decentral solar thermal,359.94778
